metric,value
n_busto_used_stops,19589.0
n_stoparea_only_units,12007.0
n_official_child_stopareas,10768.0
n_singleton_stop_units,1239.0
n_units_official_child_coordinate,10752.0
n_units_stop_point_fallback,1196.0
n_units_missing_coordinates,59.0
n_units_assigned_london_lsoa,10879.0
n_units_boundary_multiple_match,0.0
n_lsoa_with_rows,3797.0
n_lsoa_positive_activity,3797.0
n_lsoa_exact_direction_zero,8.0
n_stops_changed_vs_original,2477.0
activity_changed_vs_original,1265356.47364
n_stops_changed_vs_parent_hub,84.0
activity_changed_vs_parent_hub,110193.15985
n_stops_newly_included_vs_original,9.0
n_stops_newly_excluded_vs_original,9.0
max_abs_demand_conservation_diff_before_lsoa,9.313225746154785e-10
abs_retained_demand_diff_in_lsoa_output,9.313225746154785e-10
